trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.05, 'e': 0.01831563888873418}",30,0,-18.83535169513648,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
81,False,"{'a': 0.05, 'e': 0.017422374639493515}",25,7,33.62714515039387,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.05, 'e': 0.016572675401761237}",20,5,17.4736911140754,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.05, 'e': 0.015764416484854486}",20,12,14.714292885676052,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.05, 'e': 0.014995576820477703}",20,0,32.44876315237932,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.05, 'e': 0.014264233908999256}",20,0,23.277678727969697,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.05, 'e': 0.013568559012200934}",20,15,9.303253162072345,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.05, 'e': 0.012906812580479862}",20,16,8.232061766548568,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.05, 'e': 0.012277339903068436}",30,5,38.159320128228174,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.05, 'e': 0.011678566970395442}",20,6,7.1651054317807095,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.05, 'e': 0.011108996538242306}",20,10,11.823202364946345,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.05, 'e': 0.010567204383852655}",30,0,30.65597733769158,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
92,False,"{'a': 0.05, 'e': 0.010051835744633576}",20,0,27.881778702351564,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.05, 'e': 0.009561601930543505}",20,0,7.413901124315233,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
94,False,"{'a': 0.05, 'e': 0.009095277101695816}",30,16,25.865676900148486,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.05, 'e': 0.008651695203120634}",20,11,16.10346653270733,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.05, 'e': 0.008229747049020023}",20,2,29.87471753091523,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.05, 'e': 0.007828377549225767}",25,9,29.029816326817233,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.05, 'e': 0.007446583070924338}",30,0,47.392633907670294,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.05, 'e': 0.0070834089290521185}",25,0,8.668932459317858,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
100,False,"{'a': 0.05, 'e': 0.006737946999085467}",25,0,34.52047671047757,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,4,32.12514411629013,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,4,27.051095903023562,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,8,18.842831606653675,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,11,29.40567494205047,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,0,33.10556921597684,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,8,18.675837230802244,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,13,29.07950379817777,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,13,30.834155424969417,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,1,37.36888428367554,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,3,40.22033202369953,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
